Starters,Anthony Tolliver,Brandon Clarke,Bruno Caboclo,DaQuan Jeffries,Dakota Mathias,De'Anthony Melton,Desmond Bane,Dillon Brooks,Dusty Hannahs,Gorgui Dieng,Grayson Allen,Ja Morant,Jae Crowder,Jaren Jackson Jr.,Jarrett Culver,Jarrod Uthoff,John Konchar,Jon Teske,Jonas Valančiūnas,Jontay Porter,Jordan Bell,Josh Jackson,Justise Winslow,Killian Tillie,Kyle Anderson,Marko Guduric,Sam Merrill,Santi Aldama,Sean McDermott,Shaq Buchanan,Shaquille Harrison,Solomon Hill,Steven Adams,Tim Frazier,Tyrell Terry,Tyus Jones,Xavier Sneed,Xavier Tillman Sr.,Yuta Watanabe,Yves Pons,Ziaire Williams
Grayson Allen,0.10546322124379169,-0.0727272406713967,0.061080995104212894,-0.03821078553694484,-0.03821078553694483,-0.17857381320273166,-0.3019157199106242,0.20134820288468358,-0.05134871019004168,-0.019404863650096964,1.0,-0.06228612253105022,0.03196839493877721,-0.3110488450063143,-0.18188439463954875,-0.038210785536944854,-0.15912380348597885,,0.3923488597708605,0.006074114142371516,-0.05414838089517506,-0.1386552688268117,0.05182186985812678,-0.07494293637270875,0.11567396550675996,-0.040352259763863176,-0.07823952952322348,-0.14570534949429254,0.1030684893640637,-0.03821078553694485,,0.08608644547354151,-0.325020088611012,0.01941955134414417,-0.03821078553694485,-0.1655794315753356,,0.17714990198234137,-0.01997673593354967,-0.0685380909533358,-0.30286587198946807
Ja Morant,-0.007698223989940358,0.0694421925695678,-0.12672267317308963,0.02151176646917269,0.021511766469172702,-0.12890699687716975,-0.008720751924765584,-0.2504882334135937,-0.033726124382838604,-0.1297781432687427,-0.06228612253105022,1.0,-0.0949142211995882,-0.025511128891334132,-0.11267363388896456,-0.03764559132105224,-0.20359565171256358,,-0.06625559540575623,-0.04847103064817703,-0.030484254854550915,-0.009184275943427427,-0.021531000140628094,-0.14198192660596393,0.004988104821110895,-0.11935119867137711,0.014095040144174793,-0.19885735227739268,-0.05940882419568664,0.1236926571977429,,-0.140004216638233,0.03604877413694291,-0.1371791468454794,2.5375537086587105e-17,-0.3520091940376121,,-0.15341922776510714,-0.06536551253831413,-0.13801672335793574,0.09579762219507279
Jae Crowder,-0.07608234629638409,0.020990782363530136,0.3753820943112954,-0.02464962546291907,-0.024649625462919066,-0.13242720378109654,-0.38929304233783424,0.08400160462102396,-0.033124848296162614,-0.1350042175088899,0.03196839493877721,-0.0949142211995882,1.0,0.2548115527333543,-0.11733289809181735,-0.024649625462919062,-0.23326248762481092,,0.160800217469496,-0.05255526474200801,-0.03493090471011207,-0.025538917616728378,-0.10333073683711398,-0.13304286560582154,-0.23443941990834286,0.4575166307340009,-0.05047200867613089,-0.09399394025818816,-0.06515116728956125,-0.02464962546291907,,0.4403019801532792,-0.20966916381344772,-0.034930904710111996,-0.02464962546291907,0.01986204695709893,,-0.26735151358712655,0.04714631179089394,-0.04421364931924107,-0.19537756696529007
Jaren Jackson Jr.,-0.1679909886338848,0.03976959910670739,0.08046939857900534,0.0006583159891270151,0.0006583159891270177,0.15649456184941216,0.06608035937087316,-0.23447849542805835,-0.09926658655613232,-0.38539649836840856,-0.3110488450063143,-0.025511128891334132,0.2548115527333543,1.0,0.12271750779057952,-0.07386853994662847,-0.040619123770377304,,-0.34464416731314845,-0.10824923072604728,-0.10467886961740543,-0.16848718374104987,-0.2597137037945088,0.015881812294925794,-0.4082075513888088,0.09889894181318623,0.03575219998278388,0.05868199586585201,-0.1952411654586055,0.02775899087485629,,0.24202054191001537,0.2422770243323358,-0.1046788696174054,0.0684100032034503,0.00913074061389698,,-0.27939436208781604,-0.08618505222172962,-0.010971703486952705,0.2545990572867622
Jarrett Culver,-0.05972386957133316,-0.026921633057889346,-0.05653719962766359,0.050422226018962076,0.050422226018962034,0.13781700610125083,0.14672968415493814,-0.246059418294973,-0.02600266967981551,-0.10597694038865382,-0.18188439463954875,-0.11267363388896456,-0.11733289809181735,0.12271750779057952,1.0,-0.019349705783187125,0.3238642294866292,,-0.29415889665237055,-0.04125534936200749,-0.0274204056324501,-0.07697495982163571,-0.08111357956192292,0.2248048255369304,-0.0993599123161494,-0.0966061625275846,0.20039051419552492,0.6175537722592371,-0.0511430050075465,-0.01934970578318712,,-0.11579070707934276,0.2369774461088396,-0.02742040563245015,-0.01934970578318712,0.07106418054401067,,0.12114233558289728,-0.05258762753119384,0.39850021388516493,0.2715869935222266
Jarrod Uthoff,0.34676884162607136,-0.08598657616570202,-0.011877494020932088,-0.004065040650406504,-0.004065040650406504,-0.07506312550574966,-0.06419943558186272,0.011825085123982422,-0.005462714030483437,0.03309705611074741,-0.038210785536944854,-0.03764559132105224,-0.024649625462919062,-0.07386853994662847,-0.019349705783187125,1.0,0.05882170357649444,,0.033987365924905644,-0.008667039906570606,-0.00576055598961079,0.3065978294486366,-0.01704056908739667,-0.021940481722442673,-0.01978282422016614,-0.020295294520479533,-0.008323484155359046,-0.01550081110222952,-0.010744266433253071,-0.004065040650406504,,-0.024325637634543488,-0.03457714500857461,-0.0057605559896108,-0.004065040650406504,0.025566534236519497,,-0.0440897072579972,0.29215179090399707,-0.007291400108934911,-0.03222027665638088
John Konchar,0.015775619562978717,-0.09232661671645012,-0.11561390325050067,-0.03956855003565538,-0.03956855003565541,0.1420572411622549,0.17828344768350027,-0.1969905481012707,0.06435517139192214,0.1340980047173468,-0.15912380348597885,-0.20359565171256358,-0.23326248762481092,-0.040619123770377304,0.3238642294866292,0.05882170357649444,1.0,,-0.28463584963842387,0.23030180015872098,0.08335604634674469,0.05378033996821043,0.05232627981389521,0.31394150552183037,0.026568870943826622,-0.11851986099009125,0.02105423570370912,0.40146801394475007,0.09323582437248376,-0.03956855003565537,,-0.22747086072296355,0.18144283364683347,0.11821317407977969,0.14081358158661927,0.03755933538605189,,0.36236843389459683,0.022448723481764785,0.2797260615509236,0.2096991037659155
Jon Teske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Valančiūnas,0.18080451490571617,-0.05337774163047818,-0.0038717947750254327,-0.061797728914803986,-0.06179772891480403,-0.2449332831000513,-0.5252730893288354,0.3435179535153973,0.030349512244947113,0.09447825921328612,0.3923488597708605,-0.06625559540575623,0.160800217469496,-0.34464416731314845,-0.29415889665237055,0.033987365924905644,-0.28463584963842387,,1.0,-0.06280014590351526,0.01422919937970183,0.14895106631554408,0.05030954938081575,-0.2185413791347777,0.17284471355219028,0.11262409411135683,-0.12653561469504793,-0.2356470709239703,0.11023351524765038,-0.061797728914803986,,0.17798204795088565,-0.5256501023363895,-0.04879143401095029,-0.061797728914803986,-0.2065738187606051,,-0.14996236776996819,0.08978656426578766,-0.11084562396596766,-0.48982042090326944
Jontay Porter,-0.026751267784098726,-0.04905195016217871,-0.025323907808690153,-0.008667039906570598,-0.008667039906570596,0.004296630651072278,-0.02898763793950662,-0.056778749018361455,-0.011647007883094215,-0.04746875129867877,0.006074114142371516,-0.04847103064817703,-0.05255526474200801,-0.10824923072604728,-0.04125534936200749,-0.008667039906570606,0.23030180015872098,,-0.06280014590351526,1.0,-0.01228203428691378,-0.034478304531145074,0.42657695569940635,0.4153985992913365,0.02690420846083358,-0.043271431371051515,-0.0177464324567064,-0.03304915250817999,0.10898541573098937,-0.008667039906570598,,-0.05186449294431547,-0.07372164792857025,0.4703460857602218,-0.008667039906570598,-0.04194021919511696,,0.17478220608929607,-0.0235548318673017,-0.015545934506852372,-0.06869658820107312
