Starters,Aaron Nesmith,Al Horford,Al-Farouq Aminu,Brad Wanamaker,Brodric Thomas,Bruno Fernando,C.J. Miles,Carsen Edwards,Daniel Theis,Dennis Schröder,Derrick White,Enes Freedom,Evan Fournier,Gordon Hayward,Grant Williams,Jabari Parker,Javonte Green,Jaylen Brown,Jayson Tatum,Jeff Teague,Joe Johnson,Josh Richardson,Juancho Hernangómez,Justin Jackson,Juwan Morgan,Kelan Martin,Kemba Walker,Luke Kornet,Malik Fitts,Marcus Smart,Matt Ryan,Moritz Wagner,Nik Stauskas,Norvel Pelle,Payton Pritchard,Robert Williams,Romeo Langford,Sam Hauser,Semi Ojeleye,Tacko Fall,Tremont Waters,Tristan Thompson,Vincent Poirier
Derrick White,0.055580147775526424,0.4084446774458002,,-0.213563221228708,0.22237412610436888,-0.061105268267036876,,-0.13434350775365364,-0.0037949116143674647,-0.1548134246873764,1.0,-0.21814884306174004,-0.10019603588293967,-0.1834321189606201,0.2424241491910495,-0.0992314283206942,-0.15320014903216164,0.07799668815969049,0.07775744870129032,-0.10650521467235621,-0.024041546244331934,-0.1429939800105675,-0.06223323191307543,-0.024041546244331934,-0.024041546244331934,,-0.3072760035194355,0.07055637945953515,0.24955048087763368,0.12057671734130569,0.0848935927548816,-0.0512236510147326,0.16068704772801384,,0.17121108868819518,0.07233730442064563,-0.18732350202921974,0.3987654626304295,-0.2146694309008227,-0.10917338045697456,-0.10559662063175769,-0.17566023889459723,-0.09102254578024335
Enes Freedom,-0.160953259590162,-0.18652871373963026,,0.4057186534016867,-0.07949077349576286,0.04701898884901807,,0.0658517936858716,0.07434560001730307,-0.0019897587415592553,-0.21814884306174004,1.0,-0.13903039526036576,0.35862917663782407,-0.14243636369453613,-0.10883492387338678,0.19916650846678052,-0.132266876637808,-0.018884163831252385,-0.14778490947972742,0.022944433756665973,-0.00548488601914989,0.021038778359553645,0.022944433756665973,-0.033359659866433446,,0.18508276842440452,-0.1450936013767091,-0.07544018145328071,-0.049685979017414984,-0.033359659866433446,-0.07107710783665737,-0.09188216134145477,,-0.2915607599222906,-0.3005206106217513,0.06040411434944603,-0.1083339266911112,0.11485466639204743,-0.027150372819986827,0.013876251685369548,-0.24374330011996478,0.294839776756221
Evan Fournier,0.3514932162528857,-0.15011416883238154,,-0.13610789149177796,-0.03651021147652815,-0.03894354643564372,,0.060899945678877715,-0.2165456285959922,-0.09866553186259705,-0.10019603588293967,-0.13903039526036576,1.0,-0.11690476852688937,-0.06273842537094175,0.24348118858136822,-0.09763736068891397,-0.27682427976556073,0.10496743070256469,-0.06787779336971772,-0.015322133411790952,-0.09113277559347628,-0.03966241906108169,-0.015322133411790952,-0.01532213341179096,,0.09165581265466896,0.30752069042100455,-0.034649769496000134,0.0037015949561001356,-0.015322133411790954,0.1415630659120277,-0.042201591379354364,,0.11741974300459773,-0.002919280820140851,0.1457600886380864,-0.05162502614830839,-0.06840013997250356,0.037877849813534974,0.18395960404953565,0.2177381069214401,-0.05801039482868314
Gordon Hayward,-0.21836823037123476,-0.2748188571762103,,0.430367541120358,-0.06684042333435494,-0.07129520823435839,,0.06366283881286483,0.35220511885468264,-0.1806301758193048,-0.1834321189606201,0.35862917663782407,-0.11690476852688937,1.0,-0.2266248599416467,-0.11577930260610844,0.13725763520797096,-0.13683137466107695,-0.1022702086238613,-0.12426606859701583,-0.028050724501773275,-0.16683971562911284,-0.07261127156745208,-0.028050724501773275,-0.028050724501773285,,0.26717387865422515,-0.12200306164642266,-0.06343445211319558,0.0031226556629051815,-0.028050724501773268,-0.05976572837647657,-0.07725981633913408,,-0.32761879236623276,-0.2664617792898484,-0.09955437666649712,-0.09451160272293795,0.03547081168783645,-0.06999793819159388,-0.05506060611807104,-0.20495341343985835,0.2705027579110558
Grant Williams,0.036366051025722775,0.33795369554261684,,-0.2009789795162048,0.0902861850318381,0.02949009288843387,,-0.09255957347580314,-0.21736188793251524,0.12873760740101703,0.2424241491910495,-0.14243636369453613,-0.06273842537094175,-0.2266248599416467,1.0,0.07198150080444246,-0.13202270103469813,-0.041522719089598724,0.030981784502782786,0.015750746583956705,-0.062002044943206554,0.08010274795292513,0.07602472912469578,-0.062002044943206554,0.16706106554141775,,-0.3026142215048701,0.061670226247691605,0.1905062856784117,-0.11984821625705812,0.04650153370740495,-0.0667189122541044,0.08989226340690606,,0.21742440901528967,-0.043553138986628985,0.16219981142820813,0.2094844350426969,-0.14256197971216228,0.018427374476402678,0.044647541099966555,-0.10197465959880121,-0.01431359574571988
Jabari Parker,0.08968415773102979,-0.07171604069806646,,-0.13479755321085385,-0.03615872026453465,-0.038568629014395936,,0.044689793635980204,-0.214460899903143,0.08522268091344518,-0.0992314283206942,-0.10883492387338678,0.24348118858136822,-0.11577930260610844,0.07198150080444246,1.0,-0.09669738601178934,-0.22460855144763453,-0.005540525844336113,-0.06722432008391364,-0.015174624125335608,-0.0627407953832783,0.25600149940873934,-0.015174624125335608,-0.015174624125335608,,-0.05767507947693417,0.20659508133465182,-0.03431618913634445,-0.05068700313921674,-0.015174624125335604,-0.032331516557891564,-0.04179530809853794,,0.1334305528004249,-0.054217987983742895,0.3437341938028244,-0.03924329601045215,-0.0040258275538377405,0.043728060558642666,0.3749059064692238,0.08618983099437436,-0.05745191699023887
Javonte Green,-0.04984912191304673,-0.22952517865904631,,0.23210907376080078,-0.05582426280750928,-0.05954484192120998,,0.21848762703490787,0.18258067061965372,-0.15086000211971556,-0.15320014903216164,0.19916650846678052,-0.09763736068891397,0.13725763520797096,-0.13202270103469813,-0.09669738601178934,1.0,-0.03202246864517996,-0.22440848450584333,0.1582660735916012,-0.023427604710025474,-0.13934238694778883,-0.060644001108315096,-0.023427604710025474,-0.023427604710025477,,0.10063937819082189,-0.10189538959981494,-0.052979639403290174,-0.13239864841256593,-0.023427604710025467,-0.04991556847390269,-0.06452640597742765,,-0.10055116164044543,-0.10161499661095472,-0.030162897227108815,-0.07893487631536869,0.3819178892948614,0.3164245298830798,0.1653097131974469,0.07709213734813641,0.18371872834845834
Jaylen Brown,-0.06616513692306403,0.023598070854656917,,-0.03600270044321382,0.0800333267408527,0.061996656742737556,,-0.08171169059817272,0.10732663173294925,-0.1696315892826479,0.07799668815969049,-0.132266876637808,-0.27682427976556073,-0.13683137466107695,-0.041522719089598724,-0.22460855144763453,-0.03202246864517996,1.0,-0.174929711104526,0.08592577853485356,0.08507987377851413,-0.07662771446471903,-0.0683970950696259,0.08507987377851413,0.029909314297434948,,-0.1925853585918271,-0.11897240587533452,0.0437696509506464,-0.10100837611632862,-0.0031930213912125865,-0.0014600543469409832,0.08921691692735599,,0.07111274331137223,0.07201559446774913,-0.13646925584341751,0.05669205408831752,-0.056185228850288337,0.0033464496421773877,-0.10739525777458482,-0.03705082014361488,-0.03654302646908684
Jayson Tatum,0.03437990330153057,0.03288944119871407,,-0.11749550832193591,-0.031673726446521576,-0.03666088599676918,,-0.18552305740205788,-0.21456146242972826,0.07127699403039695,0.07775744870129032,-0.018884163831252385,0.10496743070256469,-0.1022702086238613,0.030981784502782786,-0.005540525844336113,-0.22440848450584333,-0.174929711104526,1.0,-0.1334076066981673,-0.03320042210078529,-0.017798610775043893,-0.03505930952623248,-0.03320042210078529,0.016967743398371815,,-0.17802464178299504,-0.0695776244988713,0.036726962630579514,-0.010844094719230507,0.03926470584244164,0.04586924767688209,0.043663463216533416,,-0.011866412857669307,0.061805796600207956,-0.0689603979745835,-0.10300846932247143,-0.1190737272778514,-0.13446683173108676,-0.1331549677746568,0.09469910773312995,-0.025324106906676556
Jeff Teague,0.039459767207859424,-0.15956660995584732,,-0.1446783804787414,-0.03880919915418381,-0.041395757194195804,,0.03516691091899433,0.21282331978997812,-0.10487833734325766,-0.10650521467235621,-0.14778490947972742,-0.06787779336971772,-0.12426606859701583,0.015750746583956705,-0.06722432008391364,0.1582660735916012,0.08592577853485356,-0.1334076066981673,1.0,-0.016286942830431254,-0.09687125586096676,-0.04215989604080455,-0.016286942830431254,-0.016286942830431257,,-0.019616233172596635,-0.0708379881613129,-0.0368316082168228,-0.09194539795466634,-0.016286942830431257,-0.034701456685199715,-0.04485895584356645,,0.10489173748436098,0.08187766048316118,-0.1269022856242188,-0.05487576872617357,0.16411021669663547,0.1302172367802058,0.07030832587894743,0.3196298285166729,-0.06166321351949847
