Starters,Axel Toupane,Bobby Portis,Brook Lopez,Bryn Forbes,D.J. Augustin,D.J. Wilson,DeAndre' Bembry,DeMarcus Cousins,Donte DiVincenzo,Dragan Bender,Elijah Bryant,Eric Bledsoe,Ersan İlyasova,Frank Mason III,George Hill,Georgios Kalaitzakis,Giannis Antetokounmpo,Grayson Allen,Greg Monroe,Javin DeLaurier,Javonte Smart,Jaylen Adams,Jeff Dowtin,Jeff Teague,Jevon Carter,Jordan Nwora,Jrue Holiday,Justin Jackson,Justin Robinson,Khris Middleton,Kyle Korver,Langston Galloway,Lindell Wigginton,Luca Vildoza,Luke Kornet,Mamadi Diakite,Marvin Williams,P.J. Tucker,Pat Connaughton,Rayjon Tucker,Robin Lopez,Rodions Kurucs,Rodney Hood,Sam Merrill,Sandro Mamukelashvili,Semi Ojeleye,Serge Ibaka,Sterling Brown,Thanasis Antetokounmpo,Torrey Craig,Wesley Matthews
Elijah Bryant,-0.011752919432078174,-0.06502291919454257,-0.04974757221576168,0.02460015633550297,-0.03371521024570593,-0.028987770567688323,-0.006248767183433143,-0.02192801930336586,-0.09339994866497939,-0.01115058368805637,1.0,-0.052191067398701385,-0.04411283254045568,-0.012963537199293797,-0.07128483585995427,-0.01012970991633742,-0.13420326644354552,-0.05441753551616775,-0.01178156593048153,,-0.014766108943116705,-0.006248767183433156,,0.4791865217737492,-0.024917011523854667,0.29752013331937166,-0.028138591968570135,0.9357338492078301,-0.0168013351603219,-0.0954762434180442,-0.04583822838365831,-0.006248767183433149,-0.01770294876448442,-0.008680276894321241,,0.6315178460266985,-0.02727140272808254,0.06507505285004474,0.06612200395614957,-0.007023208610974531,-0.04334457955205839,-0.009745057816173927,-0.028887090586536775,0.054418925259668516,-0.023443078225410936,-0.01865877355301184,-0.024622829342187572,-0.03500935379532269,-0.025870463691542025,-0.017223828380631124,-0.07400873658806982
Eric Bledsoe,-0.05796741837030497,-0.5088258054244442,0.16781732608840683,-0.2767225581352916,-0.1662892108680141,0.06276162305319084,-0.030819993595127722,-0.1081527595195614,0.2523897562536225,0.01578945246255842,-0.052191067398701385,1.0,0.41874553938694065,-0.02252541311321779,0.31567808648550505,-0.04996147009120856,-0.002820634151504076,-0.2683966367825979,-0.05810870782331174,,-0.07282898685333673,-0.03081999359512771,,-0.12199399208204234,-0.122894982807314,-0.22669974636353266,-0.52990063930725,-0.04281261734253532,-0.0828670723088487,0.10088553874191411,0.40403578034860066,-0.03081999359512772,-0.08731398554626928,-0.04281261734253536,,-0.07950309382497135,0.26452833162624956,-0.15871714801341508,-0.13750012596155925,-0.03463967180299999,0.47475008129804425,-0.048064299830997644,-0.14247609499987737,-0.10856251366703418,-0.115625290484944,-0.09202827766113324,-0.12144402573232196,0.376666746276404,-0.18192917315426432,-0.0849508814765893,0.4287412389141265
Ersan İlyasova,-0.04899510868090471,-0.43006875823178653,0.06600347946025198,-0.2338909027082354,-0.14055064358556815,0.1568648605451598,-0.02604961508017773,-0.09141266517943054,0.20941420491461704,0.15815081095144032,-0.04411283254045568,0.41874553938694065,1.0,0.08215701720652625,0.3640944759619971,-0.0422283366379915,-0.059651551077404316,-0.22685368364600328,-0.04911452907774402,,-0.0615563747069911,-0.026049615080177738,,-0.1031115248620247,-0.10387305849154004,-0.19161071897424176,-0.4478815883620487,-0.03618599721332508,-0.07004074578419192,0.022232826288338007,0.5571320259238115,-0.026049615080177734,-0.07379935714704651,-0.03618599721332506,,-0.06719745042877506,0.08779465729490311,-0.1341505993377844,-0.13003325849093916,-0.029278076070544258,0.5884681529555945,-0.04062481407827668,-0.12042336807819388,-0.09175899678349891,-0.09772858327727528,-0.07778396196497671,-0.10264668337290997,0.4238386937783733,-0.11340391752452073,-0.07180201891855,0.2826266439932624
Frank Mason III,-0.014398302656848355,-0.12638527214226947,0.07185260161530126,-0.06873404502088898,-0.04130393338118136,0.540757411929669,-0.007655258904752259,-0.026863645277218344,0.043833127672700735,0.09697860943471495,-0.012963537199293797,-0.02252541311321779,0.08215701720652625,1.0,0.001471274664565431,-0.012409736154867403,-0.16424020145498489,-0.06666600164577445,-0.014433396997148568,,-0.018089710123146478,-0.007655258904752261,,-0.030301615453936084,-0.03052540905244687,-0.056309072443443534,-0.13161996854963748,-0.010634060293867393,-0.02058303131196465,-0.13933229225513355,0.21550049443785893,-0.00765525890475226,-0.021687582876985294,-0.010634060293867384,,-0.019747465718331,0.15248612600119216,-0.03942313800021878,-0.00337322656579189,-0.008604013988813178,0.22157148067554305,-0.011938505377888703,-0.035389085711379456,-0.02696542252374885,-0.02871971831750691,-0.022858547646349193,-0.030165011441251326,0.4862216567318736,0.10920548841858953,-0.021100620604704558,-0.02086794994316236
George Hill,-0.07917442791858484,-0.3656610229527039,-0.05579670717550626,-0.3779597375299464,-0.22712505593059878,0.10437722275102758,-0.04209529128519387,0.03238044378036489,-0.008665086900295365,0.10623019358222126,-0.07128483585995427,0.31567808648550505,0.3640944759619971,0.001471274664565431,1.0,0.06561495637172278,-0.059320791525002234,0.08677800016423388,-0.07936740721501102,,-0.010249993722527417,-0.04209529128519386,,-0.16662471443696383,-0.07919831631439327,-0.02884735270439758,-0.40388254031535237,-0.058475339787237186,0.11597104298967027,-0.09549976061454685,0.38230730725003276,-0.042095291285193875,-0.0884772911171658,-0.05847533978723724,,-0.10858879260654172,0.17608446557203708,-0.21678280227274793,-0.013213886910756558,-0.03965045138197067,0.34157970185055414,-0.06564831675125966,0.032570760452311526,-0.14827941548271792,0.015137452799057708,0.07828896113773269,-0.07068329887347216,0.18594786970833388,-0.0774651774405261,-0.11602961855437668,0.26290918389810203
Georgios Kalaitzakis,-0.011250835860558937,-0.02074421977174161,-0.11698985593923751,-0.0537087931121153,-0.032274899753277714,-0.027749415837094192,-0.005981820458988901,-0.02099125645803166,-0.08940991197014471,-0.010674231840757623,-0.01012970991633742,-0.04996147009120856,-0.0422283366379915,-0.012409736154867403,0.06561495637172278,1.0,-0.07225096058979702,0.17328837274264544,-0.011278258583345262,,-0.014135302209653752,-0.005981820458988904,,-0.023677686870949118,-0.023852559222468386,0.15708685526415786,-0.019618788670490307,-0.00830945631224684,0.35417391741287857,-0.05616688433609378,-0.04388002373910279,-0.005981820458988902,-0.01694668052037182,-0.008309456312246836,,-0.015430672680941457,-0.02610637106414693,-0.030805245959853417,0.10127564543684767,-0.0067231778243005075,-0.04149290334230751,-0.009328749896998396,0.12904750550960378,-0.021070785213770826,0.21538099537317423,-0.017861672567183986,-0.023570944474901608,-0.03351375761671188,0.054564452239997556,-0.016488028112573556,-0.07084709058134693
Giannis Antetokounmpo,-0.13249616527685112,-0.04251564354360373,-0.08578102415114307,-0.08282125371479378,0.030440379097360123,-0.1081110456463222,0.004236409443811127,-0.19020156162020282,-0.058631821217676953,0.01965122249954519,-0.13420326644354552,-0.002820634151504076,-0.059651551077404316,-0.16424020145498489,-0.059320791525002234,-0.07225096058979702,1.0,-0.011144397350791382,-0.029917990984268623,,-0.17473698123156883,-0.005286758892689996,,-0.25851778648572804,-0.05877342220254507,-0.34029323070097695,-0.08677434369638798,-0.11846591641788182,-0.013681296125394283,-0.023121679437393062,-0.05367291903172085,0.02804433028506418,-0.10434690338620678,-0.028510025537467152,,-0.1942694241215978,-0.11008243269909272,0.014296855877691033,-0.1480773012927123,-0.11297620290570269,-0.04886403302883934,-0.16270082273211134,-0.1392780481876875,-0.19402038649712433,-0.20357503543506894,-0.07714835949734004,-0.015282575375252624,-0.1119580638457444,-0.34122119643007054,0.043759463416196145,0.09515129589912175
Grayson Allen,-0.060440305308358463,0.3130541442172026,-0.4426272146489104,-0.28852752752526967,-0.17338309962579596,-0.14907187217992615,0.0832880847542635,0.07349402264443555,-0.406621537616896,-0.057342746741977715,-0.05441753551616775,-0.2683966367825979,-0.22685368364600328,-0.06666600164577445,0.08677800016423388,0.17328837274264544,-0.011144397350791382,1.0,0.058114657991932904,,0.03284388739159643,-0.032134772857944194,,-0.12719824919788497,0.2106184357759253,0.21019204219466095,0.2527741699124251,-0.04463900128694216,0.28036624826932766,-0.30461879307348055,-0.23572666640944434,-0.03213477285794418,0.06911516716224632,0.1535946044281316,,-0.08289469151522354,-0.14024531662947462,-0.1654880129786302,0.2215235448231489,-0.026405156763688917,-0.2229028827032131,-0.05011472026682732,0.281244601228663,-0.11319378463884947,0.07780503233302392,0.300917590116449,0.2393824230463022,-0.18003833381707174,0.038793182890879505,-0.08857488149393698,-0.10128890489602571
Greg Monroe,-0.01308551434927248,0.1847073149572512,-0.13606744046269997,-0.06246710836965114,-0.03753798109555436,-0.03227452463271345,-0.006957278412111006,-0.02441430938955907,-0.005119842004127605,-0.012414883271859953,-0.01178156593048153,-0.05810870782331174,-0.04911452907774402,-0.014433396997148568,-0.07936740721501102,-0.011278258583345262,-0.029917990984268623,0.058114657991932904,1.0,,-0.01644035182702755,-0.006957278412111006,,-0.027538817128560673,-0.027742205987260373,0.047059500967321935,0.11108260287156191,-0.009664482813204686,-0.018706340462716294,-0.00025078083458739326,-0.051035557482208366,-0.006957278412111005,0.24834830289637236,-0.009664482813204691,,-0.017946958900470093,-0.03036354786446554,-0.035828670246061504,0.02364737680620855,-0.007819529231690726,-0.048259168368292894,-0.01084999302726315,0.028117885937420133,-0.02450680693261298,0.025121887997486367,0.1334339021866053,0.007593734385572485,-0.03897886002664844,0.017692520052361948,-0.019176737722629157,-0.0319775630197733
Javin DeLaurier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Smart,-0.016400377640646703,0.12016516108666993,-0.17053646869513842,-0.07829147101416306,-0.0470472194980074,-0.04045040783423875,-0.008719717870018845,0.31110497552599625,-0.13033310051814273,-0.015559860207892467,-0.014766108943116705,-0.07282898685333673,-0.0615563747069911,-0.018089710123146478,-0.010249993722527417,-0.014135302209653752,-0.17473698123156883,0.03284388739159643,-0.01644035182702755,,1.0,-0.008719717870018844,,-0.034515036140724265,-0.03476994809921062,0.11125808906389026,0.11008111195118762,-0.012112719730188428,-0.023445088949072455,-0.06129837109440578,-0.06396404401602174,-0.008719717870018847,-0.02470322771873427,-0.012112719730188421,,-0.02249333848197104,-0.038055336473248595,-0.04490490069504076,0.20742855049788936,-0.009800396755434667,-0.06048433135588279,-0.01359854708771096,0.23934957599490683,-0.030714947669108414,0.20772250807081216,0.05412221500733783,-0.034359437425469326,-0.048853106372122396,0.1222756295460231,-0.02403464870941349,-0.05027109000583264
Jaylen Adams,-0.00694036201355243,-0.037349882410747104,-0.015293911492582359,0.16183524208396105,0.19479819962821013,-0.017117927410992453,-0.0036900369003690014,-0.012948986256992853,0.015136179238039218,-0.006584669273431707,-0.006248767183433156,-0.03081999359512771,-0.026049615080177738,-0.007655258904752261,-0.04209529128519386,-0.005981820458988904,-0.005286758892689996,-0.032134772857944194,-0.006957278412111006,,-0.008719717870018844,1.0,,-0.014606178648824441,-0.014714053071733728,-0.02714245954671372,0.0556095086984249,-0.005125897813953745,-0.00992156450978428,0.01488461904610388,-0.027068499948546775,-0.0036900369003690023,-0.010453987525648103,-0.005125897813953738,,-0.009518799833690481,-0.0161043737808391,-0.01900299333558001,-0.006389431114269141,-0.004147361899190945,-0.025595944493198505,-0.005754674783411367,-0.017058473628402734,-0.012998045576865453,-0.013843662465029804,-0.011018423459395894,-0.014540331908195966,-0.020673807099953107,0.009383849256353787,0.35869924914286044,-0.04370381563961957
