Starters,Andre Drummond,Blake Griffin,Brandon Knight,Braxton Key,Bruce Brown,Cade Cunningham,Carsen Edwards,Cassius Stanley,Cheick Diallo,Chris Smith,Christian Wood,Cory Joseph,Deividas Sirvydis,Delon Wright,Dennis Smith Jr.,Derrick Rose,Derrick Walton,Donta Hall,Frank Jackson,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jahlil Okafor,Jamorko Pickett,Jaysean Paige,Jerami Grant,John Henson,Jordan Bone,Jordan McRae,Josh Jackson,Justin Robinson,Kelly Olynyk,Khyri Thomas,Killian Hayes,Langston Galloway,Louis King,Luka Garza,Luke Kennard,Markieff Morris,Marvin Bagley III,Mason Plumlee,Micah Potter,Reggie Jackson,Rodney McGruder,Saben Lee,Saddiq Bey,Sekou Doumbouya,Svi Mykhailiuk,Thon Maker,Tim Frazier,Tony Snell,Trayvon Palmer,Trey Lyles,Tyler Cook,Wayne Ellington
Deividas Sirvydis,-0.07598569922267014,-0.06245852747691652,-0.027408246124572707,-0.02914770378415167,-0.07577831107128137,-0.08719004420747542,-0.016093382017381704,0.036454889518496056,0.13895238703671808,,-0.0774004277698049,0.02206161257345779,1.0,-0.05475100978286807,-0.005704662951533322,-0.08945120875792113,-0.01635846439367795,-0.014629929896104149,0.05934978223155589,0.15413124445444648,-0.035638053175547586,0.004997994953346769,0.34093471872276176,-0.025596565913609832,,-0.01950743638845407,-0.03138711773441062,-0.016610565587713826,-0.020184757631337272,0.0892817044092907,-0.021231413538463813,-0.05979429803567822,-0.020971001610501007,0.02406926589285536,-0.08616982802288868,-0.024584526134721816,0.027961096814223672,-0.05262087903594864,-0.0668642643725201,-0.04167117532443703,0.06749730432310046,-0.013872807929610645,-0.034884329102496205,-0.046625647887083926,0.03226962537313246,0.040847517995181236,0.05815609310185117,-0.08562817505399409,-0.061193625870689154,-0.03553355275348181,-0.07629834678856108,,-0.07127757541700257,0.4535557915984232,0.0355399308474439
Delon Wright,-0.17832531895877632,0.26067698359648034,-0.06432242227504391,-0.06840462912623992,-0.1778386147680797,-0.20461998247545335,-0.03776838945661511,-0.05359967827646379,-0.0289279832354283,,-0.18164544263979368,-0.22033705925061622,-0.05475100978286807,1.0,0.07501138742736256,-0.05581753264616329,-0.03839049203363894,-0.03433391995804582,-0.15132407424669175,-0.20909622134570033,-0.08363635874397922,0.006333539111340664,0.07784781454708692,-0.06007072156324902,,0.44001912140921334,-0.07366014708614455,-0.03898213001678875,-0.04737014174424965,0.40278977653521053,-0.049826462478121974,-0.140326895431755,-0.049215320637095376,-0.16257948088348642,-0.20222571120619467,-0.057695638906704504,-0.10706399419066587,-0.12349211935891638,-0.1569188859634287,-0.09779505495292304,0.5194736512198559,-0.03255708540171704,-0.08186749845699366,-0.03701049964822418,-0.09522089756713192,0.01910418544346011,0.04621857924000407,0.09377052967335034,-0.14361087629998365,-0.08339111429289389,-0.179059048824784,,-0.16727616513204396,-0.08516267071094721,0.4026995375082527
Dennis Smith Jr.,-0.1347065994223059,-0.09020697293015058,-0.04858903279617723,-0.051672723919086096,-0.13433894402240998,-0.15456953714739793,-0.02853016800454467,-0.040489092815929266,-0.02185214232360829,,-0.1372146143993306,-0.06124821122013177,-0.005704662951533322,0.07501138742736256,1.0,-0.15857810442309295,-0.029000103082367806,-0.025935776419136324,-0.04556881969966457,-0.0937839290114938,-0.06317874287425197,0.10991270292015129,0.014282889548343468,-0.045377306340330124,,0.1728765811586565,-0.055642731973552274,-0.029447025265176913,-0.03578331302463903,0.25529507266672075,-0.037638812933919644,-0.10600266412797546,-0.037177157574770026,-0.13220635457563457,-0.15276090928311306,-0.04358317351680224,-0.08087593316644022,-0.09328570699564388,-0.11853622153428807,-0.0738741944775166,0.38825916173590763,-0.024593559048004518,-0.061842549250686524,0.06654916235889531,0.31113829704611967,0.08122918063561833,0.04537197027116999,0.15091519514061097,-0.10848337689445153,-0.06299348569245736,-0.13526085753731495,,-0.1263600900921466,-0.018495544959886687,0.25000974987726393
Derrick Rose,0.5416854240518028,0.30194939271016835,0.1412956347077602,-0.111758244902619,0.4357827568741203,-0.33430442362692664,-0.06170531106425868,-0.08757018418253197,-0.04726201539661153,,0.3961217348758763,-0.3599826991738968,-0.08945120875792113,-0.05581753264616329,-0.15857810442309295,1.0,-0.04756067347544306,0.14829542207066607,-0.3707449283732259,-0.3416176216705919,-0.13664356904885858,-0.4639538604118619,-0.06179239107721045,-0.09814245757481005,,-0.2537015765375987,0.06023184755767424,0.09519984685051544,-0.07739248015445852,-0.2679223523321695,-0.08140557250861591,-0.2292635417574454,0.06212294299602155,-0.32817754001337807,0.4932548863122605,0.2064989574796109,-0.1749192157877389,0.2625067213254566,0.4771407860498725,-0.15977579063434094,-0.09961596320130524,-0.05319117682702032,0.0874569675561668,-0.23395201326354703,-0.2889809717018057,-0.5395613867424645,0.2279840107370975,0.5094516231602687,0.22946050765663195,0.30997398980975216,0.4241591906894581,,-0.2732927707962196,-0.16572396174392728,-0.02271789496323133
Derrick Walton,-0.05327990099629518,-0.04379487448806229,0.06948119770926116,-0.020437882230155364,-0.053134483894303135,-0.06113620024241253,-0.011284410216045437,0.726194641057673,-0.008643080476768464,,-0.01407048869957103,-0.06583213629580845,-0.01635846439367795,-0.03839049203363894,-0.029000103082367806,-0.04756067347544306,1.0,-0.010258262073274594,-0.05138557004681963,0.3898964021518174,-0.02498880663491189,-0.10118150657928665,-0.03285627440499145,-0.017947883768573585,,-0.0876823995043889,0.06486604327361138,-0.01164705068268715,-0.014153214344719866,-0.07344689954140876,0.5805973662624028,-0.04192676137845443,-0.014704515468448648,-0.06804879460261926,-0.030969028179915287,-0.01723825840781387,0.401404048644196,-0.03689687999260933,-0.04688410348792458,-0.029219130946983012,-0.05681313362877675,0.34694324916094904,-0.024460307925266257,-0.04507688338846562,-0.05373893836352703,0.1371942651107981,-0.04258042554195765,-0.029930640059645252,-0.04290794664454329,-0.024915532687331023,-0.012866877981451296,,-0.04997864335425943,-0.030306907698742776,-0.04353613504287448
Donta Hall,-0.0476500237240124,-0.03916724260601421,0.4736476090285922,-0.018278291718357247,-0.04751997227439952,-0.05467617877423418,-0.010092031037059227,-0.01432228444275687,-0.007729800207309018,,0.23929033756393556,-0.058875913761848406,-0.014629929896104149,-0.03433391995804582,-0.025935776419136324,0.14829542207066607,-0.010258262073274594,1.0,-0.061490234226912445,-0.05587226741496683,-0.02234833786705251,-0.09049005532629609,-0.0293844813073014,-0.01605140158627204,,-0.07841734572391539,0.1987253020401906,-0.010416352714007622,0.08609031373200605,-0.06568605496933341,-0.013314049474460701,-0.0374965256503251,0.525772031771348,-0.060858346516648516,0.14497508353812777,-0.015416759542216597,-0.0286083989248443,-0.03299813201815301,-0.04193004494572921,-0.026131660472033927,-0.05080991358138864,-0.008699526802109055,-0.021875683534333716,-0.040313786675660046,-0.048060556420766634,-0.09927010691273579,0.020686040328914457,0.09568416652681964,0.06677901104914283,-0.022282806488891266,0.1594196476313312,,-0.04469759697357577,-0.027104496139115655,-0.03893584313884187
Frank Jackson,-0.31937121204811336,-0.2523063801510677,-0.11519805535073935,0.20430460253584892,-0.3184995505914045,0.12322566723646539,0.14484810793814026,-0.015195841116999296,0.15651616766597282,,-0.32531737791142185,0.2550794700274305,0.05934978223155589,-0.15132407424669175,-0.04556881969966457,-0.3707449283732259,-0.05138557004681963,-0.061490234226912445,1.0,0.31404395929542506,0.10191337499768482,0.39937283338828544,0.07827862532305706,0.14454690460332387,,0.0600180162462829,-0.13192142648000893,-0.0698149325310167,-0.0848374177715576,0.11947541846972044,-0.08259413775383823,-0.023780086755950176,-0.08814203555042696,0.33397147723046106,-0.3621755501255798,-0.10332983692452631,0.14033155733136524,-0.22116785248630272,-0.28103342304950646,-0.11693742063581,-0.03948148452720046,-0.05830801753902368,-0.14662035857959937,-0.0006563576263806205,0.16676144679237,0.32415104040645276,-0.03940489469104148,-0.39446536552629463,-0.2571994817955168,-0.14934907393560307,-0.3206852834205414,,0.2276568175897495,0.265533061808127,-0.08800343165457014
Hamidou Diallo,-0.2901923205942917,-0.238531529154122,-0.1046731507069727,-0.11131620670267431,-0.2894002972329096,0.20848103782750813,-0.06146124759803622,0.42829260931943,0.25543299886989734,,-0.29559522356555906,0.3027724709407543,0.15413124445444648,-0.20909622134570033,-0.0937839290114938,-0.3416176216705919,0.3898964021518174,-0.05587226741496683,0.31404395929542506,1.0,-0.09721238582681932,0.15285867969107494,0.1428196244722422,-0.08874130717504061,,-0.025441458480282005,-0.11986861508536885,-0.06343639163149589,-0.07708636911409161,-0.07244277527219624,0.3171874551196794,0.05028749804362227,-0.08008906524245392,0.13643000586665463,-0.32908590188655695,-0.09388925498783127,0.36315194987284516,-0.20096116973807654,-0.25535720854830046,-0.04309069932238286,-0.17085061809788177,0.18221526436041044,-0.13322460039438752,0.11914981382845835,0.09789892395010812,0.39326676545562483,-0.11574491900323407,-0.3686287921121119,-0.23370082105786716,-0.13570401059645884,-0.2913863337257382,,0.37174983887211216,0.1607859710181456,-0.20373463494123906
Isaiah Livers,-0.11607397242174544,-0.09541018204772217,-0.04186819411201659,0.6094242847367353,-0.11575717114451611,0.1698399390342221,0.3893580203999794,-0.03488863844126885,-0.01882955234787521,,-0.11823507857782815,0.03552858317090937,-0.035638053175547586,-0.08363635874397922,-0.06317874287425197,-0.13664356904885858,-0.02498880663491189,-0.02234833786705251,0.10191337499768482,-0.09721238582681932,1.0,0.009503482110635147,-0.07157968047709898,0.5438553842730324,,0.0033018624120648215,-0.04794622508672139,-0.025373910507658512,-0.030833762465930583,-0.16000918230732042,-0.03243260948769514,0.21760164790143433,-0.03203481033267162,0.37326874387617304,-0.13163100877975756,-0.0375547456660372,0.15852071740281912,-0.08038242096223844,-0.10214028242383608,0.32464072515504155,-0.12377136561267474,-0.02119177610401428,-0.05328848317008284,0.12792894952009048,0.13970459286154877,0.1441546593637303,-0.12957569847211847,-0.14744776209741053,-0.09347794801343114,-0.05428022199634823,-0.11655156551244776,,-0.1088819528921787,-0.06602570768021628,-0.09484650015898839
Isaiah Stewart,-0.4699920078562879,-0.2023751558771045,-0.1695273815952993,0.14176796239474987,-0.4687092563033773,0.2364964478833916,0.018841393053121634,-0.0584638178371496,-0.07624223527784627,,-0.47874248481762977,0.2916801716166186,0.004997994953346769,0.006333539111340664,0.10991270292015129,-0.4639538604118619,-0.10118150657928665,-0.09049005532629609,0.39937283338828544,0.15285867969107494,0.009503482110635147,1.0,0.09992409798632068,0.0811011800280395,,0.21000355548572544,-0.1941377737617264,-0.10274082033937551,-0.12484816043404123,0.2570157721802161,-0.11482761813665018,0.17577458269462526,-0.1297112911311637,0.39299085821843416,-0.5329835864302422,-0.15206191320808454,-0.004440754587078789,-0.32547430432659324,-0.41357347748006984,0.11687104048001613,0.09932239993758112,-0.08580705211826337,-0.21576896765214185,0.23456021936506577,0.26086671932765626,0.48596112478224046,-0.05657428826696241,-0.38231970320901737,-0.3784990516003703,-0.2197845907285363,-0.47192581722762494,,0.1269611198101792,0.2482130805810022,0.11692548135734876
Jahlil Okafor,-0.1526186642237678,0.08377582216952066,-0.05504996275668346,-0.05854369522469429,-0.15220212133524255,-0.1751227956929307,-0.032323851612367796,-0.04587296604397871,-0.02475784249739225,,-0.15546017234058046,0.058193113150166904,0.34093471872276176,0.07784781454708692,0.014282889548343468,-0.06179239107721045,-0.03285627440499145,-0.0293844813073014,0.07827862532305706,0.1428196244722422,-0.07157968047709898,0.09992409798632068,1.0,-0.05141116997559008,,-0.024577983153482964,-0.06304159903065955,-0.03336262425603672,-0.040541454232694805,0.19151367638741693,-0.04264368173183863,-0.12009793931961907,-0.042120639619965004,0.15959572691878288,-0.17307367285924033,-0.049378469602029226,-0.09163008301484106,-0.10568999628749787,-0.13429809578950783,-0.08369731646494585,0.08332563863613857,-0.02786378801418456,-0.0700658119149987,-0.11082224314119368,0.04962751017902214,0.058363380536549485,0.33046151377006516,-0.031366181358904656,-0.12290851482494751,-0.07136978947142743,-0.1532466225681299,,-0.1431623115998948,0.37162900605107574,0.12143895503205583
