Starters,Aaron Holiday,Ahmad Caver,Alize Johnson,Amida Brimah,Brad Wanamaker,Brian Bowen,Buddy Hield,Caris LeVert,Cassius Stanley,Chris Duarte,DeJon Jarreau,Domantas Sabonis,Doug McDermott,Duane Washington Jr.,Edmond Sumner,Gabe York,Goga Bitadze,Isaiah Jackson,JaKarr Sampson,Jalen Lecque,Jalen Smith,Jeremy Lamb,Justin Anderson,Justin Holiday,Keifer Sykes,Kelan Martin,Lance Stephenson,Malcolm Brogdon,Myles Turner,Nate Hinton,Naz Mitrou-Long,Oshae Brissett,Reggie Perry,T.J. Leaf,T.J. McConnell,T.J. Warren,Terry Taylor,Torrey Craig,Tristan Thompson,Tyrese Haliburton,Victor Oladipo
Edmond Sumner,0.2375352900891267,-0.03618824317886011,0.059878590229856456,0.10727819471007245,-0.13185534430038937,0.06189223537422589,-0.18275465426195434,0.2593345428147955,0.15384939715452134,-0.27358704419858154,,-0.02933964265878529,0.29696516215007834,-0.22601985342783107,1.0,-0.040967052402316,-0.03378065804967526,-0.17716883249765644,0.3126197183832358,0.02384301717371057,-0.17116053980897208,-0.08780857461951158,-0.09721037197952297,0.11034722558287706,-0.1484572121522605,0.013103487022143945,-0.19535218098079915,0.05319397006005606,0.002452229385687596,,-0.041674313200469264,-0.03716377834484463,-0.03618824317886011,-0.044924267077041245,0.23743462898610698,-0.13556681363213519,-0.18206594981062965,-0.20080185334835177,-0.054339557902466126,-0.18187269057107594,-0.038082086454627094
Gabe York,-0.0600623708451323,-0.004879543932293702,-0.011977428522243736,-0.008082661304292202,-0.017779087590450094,-0.009642794800053388,0.1346792177936603,-0.04559384256751895,-0.01571039630976129,-0.0368898814699357,,-0.10466921890248289,-0.07088580419577134,0.20034120566880684,-0.040967052402316,1.0,-0.05144667949668617,0.25488701698735,-0.031073632859173892,-0.006780211870672478,-0.023078914589610977,-0.05684172305081975,-0.013107634941112285,-0.10323073134805541,-0.020017647311101644,-0.031216127887396153,0.12380382073959373,-0.0851984027164755,-0.07994480607969201,,-0.005619273671418459,0.20003751139304743,-0.004879543932293705,-0.017226382464151275,0.09239401037720098,-0.044641417133893885,0.15532498485739962,-0.02707568478128434,-0.0073270276961494895,0.21145959886455284,-0.02788688890748255
Goga Bitadze,-0.10390771839312728,-0.04544542111762242,0.03016218653954547,-0.07527751605917117,-0.03966684582228359,0.010356420465985717,0.29089809424535445,-0.0008086574413905491,-0.0389784575410836,0.07285898442067992,,-0.34953417882901905,-0.07475321259877254,0.21191545700318054,-0.03378065804967526,-0.05144667949668617,1.0,0.10973976844396488,0.1081513365179771,-0.024731283155990356,0.28173163893128494,-0.017833114872878867,0.264692017800825,-0.13306063888598502,0.1960364117574829,-0.012724852420626626,0.22301484394864357,-0.18766548963601706,-0.34100080412358613,,0.018163964603190922,0.15463394952743856,-0.045445421117622425,0.047549682601300144,-0.06107712938507982,-0.16533091945832762,0.1748643729899974,0.04065886562189968,0.014072532395600173,0.2865311225259911,-0.181322102211561
Isaiah Jackson,-0.25974971338362096,-0.021102399389530527,-0.05179838194778413,-0.03495481326536635,-0.03720439152018813,-0.04170187007751009,0.5334595170937906,-0.06461833526096569,-0.0679422220798717,0.21454754954348623,,-0.3961054104743431,-0.30655745125837514,0.5967936516491313,-0.17716883249765644,0.25488701698735,0.10973976844396488,1.0,-0.13438309403020213,-0.029322154042644356,0.4724524590181635,-0.11815361492937848,-0.03370116178925306,-0.24208902436266294,0.1020828741493933,-0.11292262124114055,0.2993816418781088,-0.17345111722881149,-0.32257377965288797,,-0.02430148369165423,0.3102284081018141,-0.021102399389530544,-0.07449835637086849,-0.26116569025241615,-0.19305923396640878,0.40457232714301866,0.11241978030244164,-0.012828560870360927,0.5610231629648672,-0.12060148973400919
JaKarr Sampson,0.2854343088648049,-0.02744889164383307,0.21114960787635875,0.031423828624609795,-0.10001267650583122,0.17225745400073408,-0.13861995669281255,-0.005768131088990211,0.008004678047582115,-0.20751659853303725,,-0.2350776519120643,0.2507052848213599,-0.17143674080646498,0.3126197183832358,-0.031073632859173892,0.1081513365179771,-0.13438309403020213,1.0,-0.03814071633388007,-0.12982578589670118,-0.166976429886748,-0.0737343604643778,0.16915423061486326,-0.11260524336515453,0.1355830171526482,-0.14817521872022868,-0.06747643168398168,-0.06771297077986414,,-0.03161009230862793,-0.07581244828067933,-0.02744889164383307,0.1554140843090863,0.18951474623960587,0.1425709899713837,-0.13809757228841904,-0.15230881165459717,-0.04121671863059388,-0.13795098457208643,0.1307225620185994
Jalen Lecque,0.04660906383915082,-0.00598929973214813,-0.014701457848413528,-0.009920902825458476,-0.021822589574117514,0.3558647924291159,-0.030246630001076066,-0.055963260678930364,0.13929431800662018,-0.04527975570516154,,0.07480686116000412,0.15827658108966675,-0.03740719440025903,0.02384301717371057,-0.006780211870672478,-0.024731283155990356,-0.029322154042644356,-0.03814071633388007,1.0,-0.028327757447784915,-0.06976924920995288,-0.01608870737331318,0.027957873826192227,-0.02457026544738166,-0.038315619039175054,-0.03233157131834295,0.0352850545503399,0.0006662922154554065,,-0.006897266376137187,-0.053469531502687115,-0.00598929973214813,-0.021144182593704822,-0.04215376477196807,-0.054794224909675567,-0.030132646645612795,-0.03323351400425772,-0.008993415291859428,-0.030100661464514792,0.11132953094079645
Jalen Smith,-0.25094087109567914,-0.02038675776014016,-0.050041753340172454,-0.03376939737694024,-0.07428111252447346,-0.04028764254347428,0.8082111018533066,-0.19049129112790786,-0.06563811051340385,-0.017175917105156462,,-0.4373084944651674,-0.2961612271195624,0.41442167050731965,-0.17116053980897208,-0.023078914589610977,0.28173163893128494,0.4724524590181635,-0.12982578589670118,-0.028327757447784915,1.0,-0.2374849892910622,0.42540523022639415,-0.4312984866201711,0.19086782545951847,-0.13042113080243425,0.30941349910633964,-0.11807273759612837,-0.33400978008244775,,-0.023477352128950194,0.40039597475461763,-0.020386757760140168,-0.07197190787768896,-0.32317831915075307,-0.18651205313572447,0.5139304081457783,-0.1131223398098372,0.19950096034134263,0.8287123176289506,-0.11651155450782959
Jeremy Lamb,0.11977726498605627,-0.050211132503938556,-0.09477113226611339,-0.08317162082471542,0.1094851798425033,-0.09922559446783719,-0.253571805503367,-0.16113958588386565,-0.13250777804612773,-0.025416901391926233,,0.22476740337788234,0.07662071508453608,-0.20498304719366606,-0.08780857461951158,-0.05684172305081975,-0.017833114872878867,-0.11815361492937848,-0.166976429886748,-0.06976924920995288,-0.2374849892910622,1.0,-0.13487924362883458,0.04315788832329454,-0.11301272569202647,-0.22083213674178562,-0.1430892119883372,0.08811669291654849,0.1673978028526221,,-0.057823046335163684,-0.28128633306172873,-0.050211132503938556,-0.04301733447119529,0.11219368406972396,0.17626043046552708,-0.19812338182403827,0.05451918020774646,-0.07539605414280054,-0.25234808222043564,-0.20260074582754722
Justin Anderson,-0.14252149152662216,-0.011578628505913182,-0.02842113878663232,-0.01917927861293536,-0.042187846495552794,-0.022881306183073262,0.3328079809525443,-0.1081892432103258,-0.03727906646101005,-0.0875356875753704,,-0.22492313824112423,-0.16820432493573795,0.17184161875621398,-0.09721037197952297,-0.013107634941112285,0.264692017800825,-0.03370116178925306,-0.0737343604643778,-0.01608870737331318,0.42540523022639415,-0.13487924362883458,1.0,-0.23705039763633046,0.40017167971012374,-0.07407248571104395,0.2761703092204551,-0.19301602365453582,-0.17948160357156165,,-0.013333926944239871,0.25291688930511086,-0.011578628505913189,-0.04087633717838599,-0.18782914386414984,-0.10592924095836444,0.418445212259023,-0.002898506308560508,-0.017386242018395552,0.3045466708264115,-0.06617256270784952
Justin Holiday,0.12728981781255938,-0.014800040979167163,0.030637787806392237,-0.025645110085818098,-0.0774683245251832,0.07139069792884262,-0.46051388885513267,0.09916525662535743,0.013663109090916056,0.005330409600680934,,0.28054117881640017,0.24274990573975688,-0.20194858365681498,0.11034722558287706,-0.10323073134805541,-0.13306063888598502,-0.24208902436266294,0.16915423061486326,0.027957873826192227,-0.4312984866201711,0.04315788832329454,-0.23705039763633046,1.0,-0.09553448487439165,0.10964272849886475,-0.182550551067848,-0.01496887261853517,0.11804378209939745,,0.12657951890928026,-0.2628415175092856,0.007025335907832494,3.543104056060044e-05,0.19864763291395313,-0.09439169033912352,-0.2907902852292389,0.0901482165572042,-0.1369274081111205,-0.4582914747078398,0.015962384011479328
