Starters,Alec Burks,Allonzo Trier,Austin Rivers,Bobby Portis,Cam Reddish,Damyean Dotson,Danuel House Jr.,Dennis Smith Jr.,Derrick Rose,Elfrid Payton,Evan Fournier,Feron Hunt,Frank Ntilikina,Ignas Brazdeikis,Immanuel Quickley,Jared Harper,Jericho Sims,Julius Randle,Kadeem Allen,Kemba Walker,Kevin Knox,Marcus Morris,Matt Mooney,Maurice Harkless,Miles McBride,Mitchell Robinson,Nerlens Noel,Norvel Pelle,Obi Toppin,Omari Spellman,Quentin Grimes,RJ Barrett,Reggie Bullock,Ryan Arcidiacono,Taj Gibson,Theo Pinson,Tyler Hall,Wayne Ellington,Wayne Selden
Evan Fournier,0.25907408322879555,-0.1521321443527909,-0.13529739685921316,-0.3137258438842832,0.22358945421210294,-0.23465993231398805,,-0.19313158235538366,-0.10572236905353599,-0.45641176253853954,1.0,,-0.30816444697972106,-0.08976441941786055,0.2078554630634235,-0.05377329270441093,0.22748393737305397,-0.06688240798728701,-0.10173924990819633,0.3962905948920487,-0.3433705379914869,-0.2688844668430053,,-0.11616043099562735,0.15771260705815895,0.11479132835700621,-0.1755708140433434,-0.08230846389044966,0.3211810734625377,,0.336007982721479,0.05421758306234774,-0.4349122345516741,0.10545072302573723,-0.12289830026318742,-0.04000861006808895,,-0.17983502347686214,0.13602927423150254
Feron Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Ntilikina,-0.32445154672773113,0.0645816495303123,-0.11628321409432858,0.5298288474600926,-0.11429542945586862,0.2736129251927396,,0.22536274820025404,-0.19619478123094275,0.09219777050596768,-0.30816444697972106,,1.0,0.1235990641391307,-0.38877627739642284,-0.04621619819197733,-0.13921106582899967,-0.05714938223272107,0.01401804019543092,-0.1743024071950589,0.27850918693373794,0.42529805737941834,,0.1710326249484745,-0.12385828067687216,0.09167210643280145,-0.14767334347589162,-0.06749679949587768,-0.31353166582010406,,-0.17212037570628025,-0.16541848658800432,0.07958356351763282,-0.06713413225731941,0.23701206337939174,-0.03438595182289569,,0.358021144127181,-0.03438595182289569
Ignas Brazdeikis,-0.10134784454606438,0.3983879381761839,-0.03387183467633139,0.08158001202212517,-0.03329281806442857,0.2872635742665963,,0.03344558258500611,-0.08449653336070383,0.0012922319817356938,-0.08976441941786055,,0.1235990641391307,1.0,-0.14053364065835275,-0.0134621960419614,-0.04055042891272935,-0.08412199805159307,0.3364789747694405,-0.050772094374759574,0.0778999992028594,0.06917752161693576,,-0.02908087669055087,-0.036078356098571886,-0.00981577210883928,-0.08555779835311253,-0.020606003855795932,-0.10501211930835014,,-0.05013649610357222,-0.07541711353950468,-0.05531996542735033,-0.01955532659352071,-0.014887874527417244,-0.01001619437856786,,0.1385228629950229,-0.010016194378567865
Immanuel Quickley,0.3843846985291601,-0.23817548473784034,0.04394152123358077,-0.4911638185329797,0.12850664757685518,-0.37475945743289985,,-0.2953876625660048,0.14133327729428355,-0.21203607324186302,0.2078554630634235,,-0.38877627739642284,-0.14053364065835275,1.0,-0.014971054800989073,0.22362360896069144,-0.0699416490132756,-0.15928123058303828,-0.06130804094321777,-0.3379487748161185,-0.4209609251303088,,-0.1818587851860018,0.2773745445288914,-0.1806145494672915,0.18610618110539104,0.08302962614629364,0.4369268713225337,,0.0429799169794981,0.17123125514984108,-0.045271073334439804,0.2673144406788926,-0.22103405834405876,-0.011138821219918138,,-0.2815466387571286,-0.06263679603803288
Jared Harper,-0.08209084417758951,-0.022815640816741492,0.11805609506129922,-0.04705025489152386,-0.019944031971057413,-0.03589948471345553,,-0.0289644297865872,0.006592815953257536,0.09183132464634375,-0.05377329270441093,,-0.04621619819197733,-0.0134621960419614,-0.014971054800989073,1.0,-0.024291697059422405,-0.04558141384759261,-0.015258091527896903,-0.030414976331776845,0.1839543385550966,-0.04032528064854361,,-0.01742087237374501,-0.021612705962608395,-0.061147328548755216,0.11233229750657063,0.15598336894696105,-0.04267994919466542,,-0.030034221773337953,-0.031007852669867147,0.06363886770017572,-0.011714600369091357,-0.06986549811405417,-0.006000192009216496,,-0.026970311365647218,-0.006000192009216497
Jericho Sims,0.25270947462714605,-0.06872459873217275,-0.06111962299758629,-0.1417233867607947,0.11156752929262712,-0.08817191422212277,,-0.08724579908046126,-0.13892873641853257,-0.20618072117859698,0.22748393737305397,,-0.13921106582899967,-0.04055042891272935,0.22362360896069144,-0.024291697059422405,1.0,-0.30121850390127897,-0.04595997220047577,0.07524766298062294,-0.17534515970596767,-0.1214666181674757,,-0.052474636722520396,0.4268148687359638,-0.061538838929096555,-0.17339651128123404,-0.03718225479038226,0.516775814974785,,0.01973851524544273,0.100564829500529,-0.1964684645078304,0.33411784333942274,0.047524930686436886,-0.018073600976695494,,-0.08123917452828235,-0.018073600976695497
Julius Randle,-0.151677420420718,-0.06131348299452014,0.028495470123798987,-0.09941956106896199,0.02188563439711255,-0.04919507171673036,,-0.029686207554630684,0.17652932935398144,0.19456915500431107,-0.06688240798728701,,-0.05714938223272107,-0.08412199805159307,-0.0699416490132756,-0.04558141384759261,-0.30121850390127897,1.0,-0.009390049087575328,-0.011678919422183399,-0.061695840455086505,-0.08280587555439861,,0.06479426122267128,-0.21379159423309882,-0.1528456388290924,0.23044069052265617,0.1378670187283282,-0.35326559312118294,,-0.15034419546985184,-0.058636105213923394,0.2355186279376946,-0.20435140776492103,-0.07669682776247641,-0.01447889660857694,,-0.08101330500423377,0.007385209008401622
Kadeem Allen,-0.15531615214393393,0.09218300637293772,-0.038390434376259185,0.18203634974838556,-0.03773417529096228,0.17377568472310267,,0.03578827635683232,-0.09576861277231637,-0.023546573864202294,-0.10173924990819633,,0.01401804019543092,0.3364789747694405,-0.15928123058303828,-0.015258091527896903,-0.04595997220047577,-0.009390049087575328,1.0,-0.057545237093444605,0.18676287884772483,0.15272721219199836,,-0.03296034888162719,-0.040891312072132244,-0.022232665122509196,-0.10891375078798173,-0.023354903752398667,-0.1190210366088079,,-0.05682484819355631,-0.01982450856642732,0.07801940740081345,-0.02216406313589701,0.1879630335062266,-0.011352383378836033,,-0.000836523269504297,-0.011352383378836045
Kemba Walker,0.13538561561014953,-0.08604820975400387,-0.07652622549718702,-0.17744801622729126,0.07278820682906635,-0.09711689005349433,,-0.10923810335638544,0.017855865177755264,-0.25815329984461877,0.3962905948920487,,-0.1743024071950589,-0.050772094374759574,-0.06130804094321777,-0.030414976331776845,0.07524766298062294,-0.011678919422183399,-0.057545237093444605,1.0,-0.2124611669517854,-0.15208506460571666,,-0.06570207219486857,-0.06525543823711329,0.035294518557045455,-0.08041745037121328,-0.04655489472988115,0.06329344019598089,,0.19701483370354872,-0.1998468226221406,-0.24599284616997807,-0.044181112327305073,-0.026826229523024096,-0.022629466545358093,,-0.10171737134900485,0.22545459244957688
