,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3122,Marquese Chriss,Dallas Mavericks,4:53,0,3,0.0,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,0,0,-5,4:53,0.0,0.0,0.333,0.0,56.2,0.0,27.3,0.0,0.0,0.0,0.0,28.7,56.0,116.0,20220210
3123,Sterling Brown,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220210
3124,Theo Pinson,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220210
3125,Boban Marjanović,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220210
3126,Team Totals,Dallas Mavericks,240,38,78,0.487,13,39,0.333,23,27,0.852,8,33,41,19,4,3,13,23,112,0,240,0.623,0.571,0.5,0.346,22.9,89.2,56.9,50.0,4.3,5.2,12.6,100.0,119.0,111.6,20220210
3127,Reggie Bullock,Dallas Mavericks,40:18,6,12,0.5,5,10,0.5,0,0,0.0,1,1,2,1,0,0,0,5,17,-7,40:18,0.708,0.708,0.833,0.0,2.4,3.2,2.8,4.3,0.0,0.0,0.0,13.3,150.0,110.0,20220212
3128,Luka Dončić,Dallas Mavericks,39:27,15,33,0.455,6,13,0.462,9,13,0.692,0,15,15,8,0,0,7,2,45,8,39:27,0.581,0.545,0.394,0.394,0.0,49.3,21.2,58.1,0.0,0.0,15.3,51.8,110.0,104.0,20220212
3129,Jalen Brunson,Dallas Mavericks,39:02,8,17,0.471,4,7,0.571,2,4,0.5,0,4,4,3,0,0,2,3,22,5,39:02,0.586,0.588,0.412,0.235,0.0,13.3,5.7,14.7,0.0,0.0,9.6,23.8,114.0,109.0,20220212
3130,Dorian Finney-Smith,Dallas Mavericks,39:00,1,4,0.25,0,2,0.0,1,2,0.5,1,1,2,2,0,0,2,3,3,14,39:00,0.307,0.25,0.5,0.5,2.5,3.3,2.9,7.3,0.0,0.0,29.1,7.9,68.0,110.0,20220212
3131,Dwight Powell,Dallas Mavericks,26:23,3,5,0.6,0,0,0.0,0,0,0.0,7,2,9,1,0,0,1,1,6,4,26:23,0.6,0.6,0.0,0.0,26.0,9.8,19.0,6.2,0.0,0.0,16.7,10.2,138.0,109.0,20220212
