,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
2501,CJ McCollum,Portland Trail Blazers,36:13,11,26,0.423,4,11,0.364,2,2,1.0,1,3,4,6,2,0,1,0,28,16,36:13,0.521,0.5,0.423,0.077,2.8,9.9,6.0,30.1,2.7,0.0,3.6,32.4,112.0,95.0,20211130
2502,Anfernee Simons,Portland Trail Blazers,35:37,5,14,0.357,2,6,0.333,0,0,0.0,0,6,6,5,0,1,2,4,12,6,35:37,0.429,0.429,0.429,0.0,0.0,20.2,9.2,19.7,0.0,3.3,12.5,18.9,89.0,96.0,20211130
2503,Jusuf Nurkić,Portland Trail Blazers,27:01,5,8,0.625,0,0,0.0,3,5,0.6,4,4,8,5,1,1,2,4,13,12,27:01,0.637,0.625,0.0,0.625,14.8,17.8,16.2,27.7,1.8,4.3,16.4,19.0,130.0,92.0,20211130
2504,Tony Snell,Portland Trail Blazers,26:37,3,7,0.429,2,5,0.4,1,1,1.0,0,4,4,0,1,0,0,1,9,13,26:37,0.605,0.571,0.714,0.143,0.0,18.0,8.2,0.0,1.8,0.0,0.0,11.8,121.0,95.0,20211130
2505,Robert Covington,Portland Trail Blazers,24:05,3,10,0.3,2,6,0.333,0,0,0.0,0,3,3,1,1,1,0,3,8,15,24:05,0.4,0.4,0.6,0.0,0.0,14.9,6.8,5.7,2.0,4.9,0.0,17.5,87.0,92.0,20211130
2506,Larry Nance Jr.,Portland Trail Blazers,25:18,3,5,0.6,0,1,0.0,0,0,0.0,1,2,3,2,0,0,0,2,6,10,25:18,0.6,0.6,0.2,0.0,4.0,9.5,6.5,10.7,0.0,0.0,0.0,8.3,139.0,101.0,20211130
2507,Ben McLemore,Portland Trail Blazers,18:12,5,10,0.5,4,9,0.444,3,3,1.0,0,2,2,1,1,0,2,2,17,5,18:12,0.751,0.7,0.9,0.3,0.0,13.2,6.0,9.5,2.7,0.0,15.0,30.8,122.0,94.0,20211130
2508,Cody Zeller,Portland Trail Blazers,17:21,1,1,1.0,0,0,0.0,2,2,1.0,1,5,6,1,0,0,2,5,4,4,17:21,1.064,1.0,0.0,2.0,5.8,34.6,18.9,7.2,0.0,0.0,51.5,9.4,113.0,94.0,20211130
2509,Dennis Smith Jr.,Portland Trail Blazers,16:51,4,11,0.364,0,3,0.0,3,3,1.0,2,2,4,3,1,1,0,0,11,9,16:51,0.446,0.364,0.273,0.273,11.9,14.2,12.9,28.9,2.9,6.9,0.0,30.8,113.0,89.0,20211130
2510,Trendon Watford,Portland Trail Blazers,3:11,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,1,1,0,0,2,0,3:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13.2,0.0,103.0,20211130
2511,Keljin Blevins,Portland Trail Blazers,3:11,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,3:11,0.0,0.0,0.0,2.0,31.4,0.0,17.1,0.0,0.0,0.0,0.0,24.9,38.0,103.0,20211130
2512,Greg Brown III,Portland Trail Blazers,3:11,0,1,0.0,0,0,0.0,0,2,0.0,1,0,1,0,0,0,0,1,0,0,3:11,0.0,0.0,1.0,0.0,0.0,37.7,17.1,0.0,0.0,0.0,0.0,13.2,0.0,94.0,20211130
2513,CJ Elleby,Portland Trail Blazers,3:11,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,3:11,0.5,0.5,0.0,0.0,0.0,37.7,17.1,0.0,15.2,36.8,0.0,26.5,96.0,38.0,20211130
2514,Team Totals,Portland Trail Blazers,240,41,96,0.427,14,42,0.333,14,18,0.778,10,33,43,24,8,5,10,22,110,0,240,0.529,0.5,0.438,0.188,20.8,82.5,48.9,58.5,8.1,12.2,8.8,100.0,111.0,92.9,20211130
2515,CJ McCollum,Portland Trail Blazers,31:33,7,18,0.389,2,6,0.333,0,2,0.0,1,3,4,2,2,3,3,2,16,-28,31:33,0.424,0.444,0.333,0.111,3.0,11.7,6.8,16.6,3.1,8.3,13.7,31.0,74.0,107.0,20211202
2516,Norman Powell,Portland Trail Blazers,28:54,3,13,0.231,2,5,0.4,8,8,1.0,0,4,4,1,0,1,2,1,16,-20,28:54,0.484,0.308,0.385,0.615,0.0,17.0,7.5,6.9,0.0,3.0,10.8,28.6,92.0,117.0,20211202
2517,Robert Covington,Portland Trail Blazers,28:49,4,7,0.571,2,4,0.5,0,0,0.0,3,3,6,1,0,0,3,4,10,-23,28:49,0.714,0.714,0.571,0.0,10.0,12.8,11.2,7.5,0.0,0.0,30.0,15.5,99.0,120.0,20211202
2518,Jusuf Nurkić,Portland Trail Blazers,23:28,3,8,0.375,0,0,0.0,4,4,1.0,1,6,7,1,0,0,2,2,10,-19,23:28,0.512,0.375,0.0,0.5,4.1,31.5,16.1,8.9,0.0,0.0,17.0,22.4,92.0,118.0,20211202
2519,Anfernee Simons,Portland Trail Blazers,10:38,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-6,10:38,0.0,0.0,0.667,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,12.6,19.0,122.0,20211202
2520,Ben McLemore,Portland Trail Blazers,27:26,4,9,0.444,3,8,0.375,0,0,0.0,0,2,2,3,1,0,0,1,11,-13,27:26,0.611,0.611,0.889,0.0,0.0,9.0,3.9,23.9,1.8,0.0,0.0,14.7,126.0,117.0,20211202
2521,Larry Nance Jr.,Portland Trail Blazers,20:42,2,5,0.4,0,2,0.0,0,2,0.0,1,4,5,1,3,0,1,1,4,-7,20:42,0.34,0.4,0.4,0.4,4.6,23.8,13.0,9.5,7.0,0.0,14.5,14.8,68.0,103.0,20211202
2522,Tony Snell,Portland Trail Blazers,19:38,0,2,0.0,0,1,0.0,0,0,0.0,1,3,4,2,0,0,1,0,0,-4,19:38,0.0,0.0,0.5,0.0,4.9,18.8,11.0,16.9,0.0,0.0,33.3,6.8,47.0,120.0,20211202
2523,Dennis Smith Jr.,Portland Trail Blazers,18:50,2,8,0.25,1,3,0.333,1,1,1.0,0,3,3,5,2,0,3,5,6,-8,18:50,0.355,0.313,0.375,0.125,0.0,19.6,8.6,53.3,5.1,0.0,26.2,27.1,71.0,108.0,20211202
2524,Cody Zeller,Portland Trail Blazers,9:54,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,1,2,1,9:54,0.5,0.5,0.0,0.0,9.7,24.9,16.3,0.0,0.0,8.8,33.3,13.5,74.0,111.0,20211202
2525,CJ Elleby,Portland Trail Blazers,5:02,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,1,2,5,-7,5:02,0.5,0.5,0.667,0.0,0.0,24.5,10.7,0.0,0.0,0.0,0.0,26.6,91.0,119.0,20211202
2526,Keljin Blevins,Portland Trail Blazers,5:02,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,-7,5:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,0.0,17.3,0.0,0.0,241.0,107.0,20211202
2527,Greg Brown III,Portland Trail Blazers,5:02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,0,-7,5:02,1.25,1.25,0.5,0.0,0.0,24.5,10.7,0.0,0.0,0.0,33.3,26.6,106.0,118.0,20211202
2528,Trendon Watford,Portland Trail Blazers,5:02,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-7,5:02,0.0,0.0,0.0,0.0,0.0,24.5,10.7,32.9,0.0,0.0,33.3,26.6,17.0,119.0,20211202
2529,Team Totals,Portland Trail Blazers,240,29,82,0.354,12,34,0.353,13,17,0.765,8,33,41,19,8,6,18,20,83,0,240,0.464,0.427,0.415,0.207,16.0,84.6,46.1,65.5,8.0,10.9,16.7,100.0,83.3,114.3,20211202
2530,Dennis Smith Jr.,Portland Trail Blazers,36:46,7,14,0.5,1,3,0.333,6,8,0.75,0,4,4,6,3,0,0,3,21,-14,36:46,0.599,0.536,0.214,0.571,0.0,14.9,6.7,23.8,4.0,0.0,0.0,20.4,135.0,143.0,20211204
2531,CJ McCollum,Portland Trail Blazers,34:49,8,21,0.381,3,9,0.333,5,7,0.714,1,0,1,6,1,0,2,4,24,-19,34:49,0.498,0.452,0.429,0.333,3.2,0.0,1.8,26.7,1.4,0.0,7.7,32.1,106.0,153.0,20211204
2532,Norman Powell,Portland Trail Blazers,27:54,2,8,0.25,0,2,0.0,4,6,0.667,0,0,0,4,0,0,1,3,8,-22,27:54,0.376,0.25,0.25,0.75,0.0,0.0,0.0,17.8,0.0,0.0,8.6,17.9,89.0,156.0,20211204
2533,Robert Covington,Portland Trail Blazers,22:24,4,11,0.364,1,6,0.167,0,0,0.0,0,2,2,0,0,0,2,2,9,-16,22:24,0.409,0.409,0.545,0.0,0.0,12.2,5.5,0.0,0.0,0.0,15.4,24.9,69.0,153.0,20211204
2534,Jusuf Nurkić,Portland Trail Blazers,19:45,6,9,0.667,0,1,0.0,6,7,0.857,2,3,5,1,1,1,1,2,18,-15,19:45,0.745,0.667,0.111,0.778,11.3,20.8,15.6,8.9,2.5,4.9,7.6,28.4,146.0,142.0,20211204
2535,Larry Nance Jr.,Portland Trail Blazers,25:54,4,5,0.8,1,2,0.5,0,0,0.0,1,4,5,1,2,0,0,2,9,-11,25:54,0.9,0.9,0.4,0.0,4.3,21.2,11.9,5.4,3.8,0.0,0.0,8.3,182.0,142.0,20211204
