,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3385,Tyrese Maxey,Philadelphia 76ers,29:01,4,11,0.364,2,4,0.5,1,1,1.0,0,0,0,3,1,0,3,4,11,5,29:01,0.481,0.455,0.364,0.091,0.0,0.0,0.0,18.8,1.7,0.0,20.8,21.2,84.0,120.0,20220403
3386,Matisse Thybulle,Philadelphia 76ers,24:22,2,4,0.5,0,1,0.0,0,0,0.0,1,1,2,3,2,2,0,3,4,2,24:22,0.5,0.5,0.25,0.0,4.3,4.4,4.3,20.3,4.1,8.8,0.0,7.0,135.0,106.0,20220403
3387,Georges Niang,Philadelphia 76ers,22:01,2,4,0.5,2,4,0.5,2,2,1.0,1,4,5,1,0,0,0,2,8,16,22:01,0.82,0.75,1.0,0.5,4.7,19.4,12.0,7.6,0.0,0.0,0.0,9.5,174.0,120.0,20220403
3388,Danny Green,Philadelphia 76ers,17:28,1,2,0.5,1,1,1.0,0,0,0.0,0,5,5,0,2,0,1,1,3,-2,17:28,0.75,0.75,0.5,0.0,0.0,30.5,15.1,0.0,5.8,0.0,33.3,7.3,83.0,104.0,20220403
3389,Shake Milton,Philadelphia 76ers,14:56,1,1,1.0,1,1,1.0,1,2,0.5,0,1,1,0,0,0,1,2,4,2,14:56,1.064,1.5,1.0,2.0,0.0,7.1,3.5,0.0,0.0,0.0,34.7,8.2,97.0,122.0,20220403
3390,DeAndre Jordan,Philadelphia 76ers,9:57,3,3,1.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,0,6,-12,9:57,1.0,1.0,0.0,0.0,10.5,32.2,21.2,0.0,0.0,0.0,0.0,12.9,205.0,118.0,20220403
3391,Furkan Korkmaz,Philadelphia 76ers,7:00,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,0,1,0,1,0,0,-5,7:00,0.0,0.0,1.0,0.0,14.9,0.0,7.5,0.0,7.2,0.0,33.3,18.3,26.0,107.0,20220403
3392,Paul Millsap,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220403
3393,Paul Reed,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220403
3394,Isaiah Joe,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220403
3395,Team Totals,Philadelphia 76ers,240,33,80,0.413,11,31,0.355,35,42,0.833,12,38,50,23,7,8,14,19,112,0,240,0.569,0.481,0.388,0.525,26.1,84.4,54.9,69.7,7.4,17.8,12.4,100.0,117.9,113.7,20220403
3396,James Harden,Philadelphia 76ers,40:17,4,10,0.4,2,7,0.286,1,2,0.5,0,3,3,14,1,0,4,2,11,7,40:17,0.506,0.5,0.7,0.2,0.0,7.6,4.3,39.5,1.2,0.0,26.9,16.3,117.0,124.0,20220405
3397,Joel Embiid,Philadelphia 76ers,38:39,18,30,0.6,2,3,0.667,7,10,0.7,2,11,13,2,0,1,3,1,45,20,38:39,0.654,0.633,0.1,0.333,6.7,29.1,19.2,10.1,0.0,2.3,8.0,42.6,120.0,118.0,20220405
3398,Tyrese Maxey,Philadelphia 76ers,38:20,9,12,0.75,8,11,0.727,4,4,1.0,0,3,3,7,1,1,3,1,30,15,38:20,1.09,1.083,0.917,0.333,0.0,8.0,4.5,24.5,1.2,2.3,17.9,19.3,168.0,123.0,20220405
3399,Tobias Harris,Philadelphia 76ers,36:55,5,11,0.455,5,6,0.833,2,2,1.0,0,6,6,5,4,0,2,2,17,4,36:55,0.715,0.682,0.545,0.182,0.0,16.6,9.3,16.1,5.1,0.0,14.4,16.6,128.0,112.0,20220405
